db_id,original_question,translated_question,query
concert_singer,How many singers do we have?,ስንት ዘፋኞች አሉን?,SELECT count(*) FROM singer
concert_singer,What is the total number of singers?,አጠቃላይ የዘፋኞች ቁጥር ስንት ነው?,SELECT count(*) FROM singer
concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.",ስም፣ ሀገር፣ እድሜ ከትልቁ እስከ ታናሹ በእድሜ የታዘዙ ለሁሉም ዘፋኞች አሳይ።,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC"
concert_singer,"What are the names, countries, and ages for every singer in descending order of age?",ለእያንዳንዱ ዘፋኝ በእድሜ ቅደም ተከተል ውስጥ ስሞች ፣ አገሮች እና ዕድሜዎች ስንት ናቸው?,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC"
concert_singer,"What is the average, minimum, and maximum age of all singers from France?",ከፈረንሳይ የመጡ የሁሉም ዘፋኞች አማካይ፣ ዝቅተኛ እና ከፍተኛ ዕድሜ ስንት ነው?,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"
concert_singer,"What is the average, minimum, and maximum age for all French singers?",ለሁሉም የፈረንሳይ ዘፋኞች አማካይ፣ ዝቅተኛ እና ከፍተኛው ዕድሜ ስንት ነው?,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"
concert_singer,Show the name and the release year of the song by the youngest singer.,በትልቁ ዘፋኝ የዘፈኑን ስም እና የተለቀቀበትን ዓመት አሳይ።,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1"
concert_singer,What are the names and release years for all the songs of the youngest singer?,ለታናሹ ዘፋኝ ዘፈኖች ሁሉ ስሞች እና የመልቀቂያ ዓመታት ምንድ ናቸው?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1"
concert_singer,What are all distinct countries where singers above age 20 are from?,ዕድሜያቸው ከ20 በላይ የሆኑ ዘፋኞች የመጡባቸው አገሮች የትኞቹ ናቸው?,SELECT DISTINCT country FROM singer WHERE age  >  20
concert_singer,What are  the different countries with singers above age 20?,ዕድሜያቸው ከ 20 በላይ የሆኑ ዘፋኞች ያላቸው የተለያዩ አገሮች የትኞቹ ናቸው?,SELECT DISTINCT country FROM singer WHERE age  >  20
concert_singer,Show all countries and the number of singers in each country.,ሁሉንም አገሮች እና በእያንዳንዱ ሀገር ውስጥ ያሉትን የዘፋኞች ብዛት አሳይ።,"SELECT country ,  count(*) FROM singer GROUP BY country"
concert_singer,How many singers are from each country?,ከየአገሩ ስንት ዘፋኞች ናቸው?,"SELECT country ,  count(*) FROM singer GROUP BY country"
