db_id,original_question,translated_question,query
concert_singer,How many singers do we have?,మనకు ఎంతమంది గాయకులు ఉన్నారు?,SELECT count(*) FROM singer
concert_singer,What is the total number of singers?,మొత్తం గాయకుల సంఖ్య ఎంత?,SELECT count(*) FROM singer
concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","పెద్దవారి నుండి చిన్నవారి వరకు వయస్సు ప్రకారం ఆర్డర్ చేసిన గాయకులందరికీ పేరు, దేశం, వయస్సు చూపండి.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC"
concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","వయస్సు యొక్క అవరోహణ క్రమంలో ప్రతి గాయకుడికి పేర్లు, దేశాలు మరియు వయస్సు ఏమిటి?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC"
concert_singer,"What is the average, minimum, and maximum age of all singers from France?","ఫ్రాన్స్‌కు చెందిన గాయకులందరి సగటు, కనిష్ట మరియు గరిష్ట వయస్సు ఎంత?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"
concert_singer,"What is the average, minimum, and maximum age for all French singers?","ఫ్రెంచ్ గాయకులందరికీ సగటు, కనిష్ట మరియు గరిష్ట వయస్సు ఎంత?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"
concert_singer,Show the name and the release year of the song by the youngest singer.,అతి పిన్న వయస్కుడైన గాయకుడి పేరు మరియు పాట విడుదల సంవత్సరాన్ని చూపండి.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1"
concert_singer,What are the names and release years for all the songs of the youngest singer?,అతి పిన్న వయస్కుడి పాటలన్నింటికీ పేర్లు మరియు విడుదల సంవత్సరాలు ఏమిటి?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1"
concert_singer,What are all distinct countries where singers above age 20 are from?,20 ఏళ్లు పైబడిన గాయకులు ఉన్న అన్ని విభిన్న దేశాలు ఏవి?,SELECT DISTINCT country FROM singer WHERE age  >  20
concert_singer,What are  the different countries with singers above age 20?,20 ఏళ్లు పైబడిన గాయకులు ఉన్న వివిధ దేశాలు ఏమిటి?,SELECT DISTINCT country FROM singer WHERE age  >  20
concert_singer,Show all countries and the number of singers in each country.,అన్ని దేశాలు మరియు ప్రతి దేశంలోని గాయకుల సంఖ్యను చూపండి.,"SELECT country ,  count(*) FROM singer GROUP BY country"
concert_singer,How many singers are from each country?,ప్రతి దేశం నుండి ఎంత మంది గాయకులు ఉన్నారు?,"SELECT country ,  count(*) FROM singer GROUP BY country"
concert_singer,List all song names by singers above the average age.,సగటు వయస్సు కంటే ఎక్కువ వయస్సు ఉన్న గాయకుల ద్వారా అన్ని పాటల పేర్లను జాబితా చేయండి.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
concert_singer,What are all the song names by singers who are older than average?,సగటు కంటే ఎక్కువ వయస్సు ఉన్న గాయకుల అన్ని పాటల పేర్లు ఏమిటి?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,5000 మరియు 10000 మధ్య కెపాసిటీ ఉన్న అన్ని స్టేడియాల కోసం స్థానం మరియు పేరును చూపండి.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000"
concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,5000 మరియు 10000 మధ్య కెపాసిటీ ఉన్న అన్ని స్టేషన్ల స్థానాలు మరియు పేర్లు ఏమిటి?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000"
concert_singer,What is the maximum capacity and the average of all stadiums ?,అన్ని స్టేడియాల గరిష్ట సామర్థ్యం మరియు సగటు ఎంత?,"select max(capacity), average from stadium"
concert_singer,What is the average and maximum capacities for all stadiums ?,అన్ని స్టేడియాల సగటు మరియు గరిష్ట సామర్థ్యాలు ఎంత?,"select avg(capacity) ,  max(capacity) from stadium"
concert_singer,What is the name and capacity for the stadium with highest average attendance?,అత్యధిక సగటు హాజరు ఉన్న స్టేడియం పేరు మరియు సామర్థ్యం ఏమిటి?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1"
concert_singer,What is the name and capacity for the stadium with the highest average attendance?,అత్యధిక సగటు హాజరు ఉన్న స్టేడియం పేరు మరియు సామర్థ్యం ఏమిటి?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1"
concert_singer,How many concerts are there in year 2014 or 2015?,2014 లేదా 2015లో ఎన్ని కచేరీలు ఉన్నాయి?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015
concert_singer,How many concerts occurred in 2014 or 2015?,2014 లేదా 2015లో ఎన్ని కచేరీలు జరిగాయి?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015
concert_singer,Show the stadium name and the number of concerts in each stadium.,స్టేడియం పేరు మరియు ప్రతి స్టేడియంలోని కచేరీల సంఖ్యను చూపండి.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id"
concert_singer,"For each stadium, how many concerts play there?","ప్రతి స్టేడియం కోసం, అక్కడ ఎన్ని కచేరీలు ఆడతారు?","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id"
concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after.,2014 సంవత్సరం లేదా తర్వాత ఎక్కువ సంఖ్యలో కచేరీలతో స్టేడియం పేరు మరియు సామర్థ్యాన్ని చూపండి.,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1"
concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,2013 తర్వాత అత్యధిక కచేరీలు జరిగిన స్టేడియం పేరు మరియు సామర్థ్యం ఏమిటి?,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1"
concert_singer,Which year has most number of concerts?,ఏ సంవత్సరంలో ఎక్కువ కచేరీలు జరిగాయి?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
concert_singer,What is the year that had the most concerts?,అత్యధిక కచేరీలు జరిగిన సంవత్సరం ఏది?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
concert_singer,Show the stadium names without any concert.,కచేరీ లేకుండానే స్టేడియం పేర్లను చూపించండి.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
concert_singer,What are the names of the stadiums without any concerts?,కచేరీలు లేని స్టేడియాల పేర్లు ఏమిటి?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
